Unix,Date,Symbol,Open,High,Low,Close,Volume 1INCH,Volume BTC,tradecount
1677542400000,2023-02-28,1INCHBTC,2.464e-05,2.494e-05,2.434e-05,2.465e-05,180356.4,4.4402141,1507
1677456000000,2023-02-27,1INCHBTC,2.476e-05,2.504e-05,2.42e-05,2.464e-05,462133.3,11.36208127,3048
1677369600000,2023-02-26,1INCHBTC,2.51e-05,2.577e-05,2.433e-05,2.473e-05,313277.2,7.83695251,3119
1677283200000,2023-02-25,1INCHBTC,2.59e-05,2.595e-05,2.473e-05,2.511e-05,254662.1,6.48118186,2253
1677196800000,2023-02-24,1INCHBTC,2.587e-05,2.61e-05,2.537e-05,2.592e-05,323018.3,8.32982507,2955
1677110400000,2023-02-23,1INCHBTC,2.656e-05,2.671e-05,2.548e-05,2.588e-05,415584.5,10.82737274,3847
