JobFolder,JobName,Revision,ModifiedDate,Comments,Product,LogOnUser,Line,SetupName,TopBottom,PanelLength,PanelWidth,PanelThickness,ImportCad,ImportBom,Optimize,Datacheck
"\GOOGLE","50GTU4-lot 1--test4","02","2025/04/30 19:07:17","","MODEL1","TOUMI","Line6","Original setup","0","321","210","1.6","1","1","1","1",
LineName,OrderNum,ModelName,ModuleNumber,SideNo,SetupName,AVLNAME,AVL,PartNumber,FeederName,Status,Location,FeederID,PartNumberImage,PartShapeName,PackageName,PartComment,PMABAR,ChuteType,FeederType,TapeWidth,FeedPitch,PTPMNH,QTY,PMADC
"Line6","1","NXT6","1","0","Original setup","","","33-VLN102-NTXJR","KT-0800F-180","Variable","'25","11025","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\33-VLN102-NTXJR.bmp","C-0402","P0802","","","","Paper","8mm","2","0.49","4","0",
"Line6","1","NXT6","1","0","Original setup","","","13-SWSTI9-712000JR","KT-0800F-180","Variable","'26","11026","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\13-SWSTI9-712000JR.bmp","SOT23-5","E0804","","","","Emboss","8mm","4","1.25","2","0",
"Line6","1","NXT6","1","0","Original setup","","","13-VDJW53-72TSOTJR","KT-0800F-180","Variable","'27","11027","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\13-VDJW53-72TSOTJR.bmp","SOT23-6","E0804","","","","Emboss","8mm","4","1.1","2","0",
"Line6","1","NXT6","1","0","Original setup","","","19-GA0104-JTXJR","KT-0800F-180","Variable","'28","11028","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\19-GA0104-JTXJR.bmp","R-0402","P0802","","","","Paper","8mm","2","0.33","2","0",
"Line6","1","NXT6","1","0","Original setup","","","19-GA0123-FTXJR","KT-0800F-180","Variable","'29","11029","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\19-GA0123-FTXJR.bmp","R-0402","P0802","","","","Paper","8mm","2","0.33","2","0",
"Line6","1","NXT6","1","0","Original setup","","","19-GA0222-JTXJR","KT-0800F-180","Variable","'30","11030","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\19-GA0222-JTXJR.bmp","R-0402","P0802","","","","Paper","8mm","2","0.33","2","0",
"Line6","1","NXT6","1","0","Original setup","","","19-GA0243-FTX01JR","KT-0800F-180","Variable","'31","11031","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\19-GA0243-FTX01JR.bmp","R-0402","P0802","","","","Paper","8mm","2","0.33","2","0",
"Line6","1","NXT6","1","0","Original setup","","","19-GA0332-JTXJR","KT-0800F-180","Variable","'32","11032","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\19-GA0332-JTXJR.bmp","R-0402","P0802","","","","Paper","8mm","2","0.33","2","0",
"Line6","1","NXT6","1","0","Original setup","","","19-GA0363-FTX01JR","KT-0800F-180","Variable","'33","11033","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\19-GA0363-FTX01JR.bmp","R-0402","P0802","","","","Paper","8mm","2","0.33","2","0",
"Line6","1","NXT6","1","0","Original setup","","","19-GA0683-FTXJR","KT-0800F-180","Variable","'34","11034","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\19-GA0683-FTXJR.bmp","R-0402","P0802","","","","Paper","8mm","2","0.33","2","0",
"Line6","1","NXT6","1","0","Original setup","","","","","Variable","'35","11035","","","","","","","","","","","0","",
"Line6","1","NXT6","1","0","Original setup","","","","","Variable","'36","11036","","","","","","","","","","","0","",
"Line6","1","NXT6","1","0","Original setup","","","","","Variable","'37","11037","","","","","","","","","","","0","",
"Line6","1","NXT6","1","0","Original setup","","","","","Variable","'38","11038","","","","","","","","","","","0","",
"Line6","1","NXT6","1","0","Original setup","","","","","Variable","'39","11039","","","","","","","","","","","0","",
"Line6","1","NXT6","1","0","Original setup","","","","","Variable","'40","11040","","","","","","","","","","","0","",
"Line6","1","NXT6","1","0","Original setup","","","","","Variable","'41","11041","","","","","","","","","","","0","",
"Line6","1","NXT6","1","0","Original setup","","","","","Variable","'42","11042","","","","","","","","","","","0","",
"Line6","1","NXT6","1","0","Original setup","","","","","Variable","'43","11043","","","","","","","","","","","0","",
"Line6","1","NXT6","1","0","Original setup","","","","","Variable","'44","11044","","","","","","","","","","","0","",
"Line6","1","NXT6","1","0","Original setup","","","","","Variable","'45","11045","","","","","","","","","","","0","",
"Line6","1","NXT6","2","0","Original setup","","","","","Variable","'01","21001","","","","","","","","","","","0","",
"Line6","1","NXT6","2","0","Original setup","","","28-HD1004-KS01JR","KT-0800F-180","Variable","'02","21002","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\28-HD1004-KS01JR.bmp","C-0402","P0802","","","","Paper","8mm","2","0.49","2","0",
"Line6","1","NXT6","2","0","Original setup","","","28-HB0121-JCXJR","KT-0800F-180","Variable","'03","21003","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\28-HB0121-JCXJR.bmp","C-0402","P0802","","","","Paper","8mm","2","0.49","2","0",
"Line6","1","NXT6","2","0","Original setup","","","19-GA4993-FTX01JR","KT-0800F-180","Variable","'04","21004","C:\Users\asus\Downloads\d10\50GTU4-lot 1--test4;02;Top;MODEL1;[Top] Line6;Original setup\Images\19-GA4993-FTX01JR.bmp","R-0402","P0802","","","","Paper","8mm","2","0.33","2","0",
