JobFolder,JobName,Revision,ModifiedDate,Comments,Product,LogOnUser,Line,SetupName,TopBottom,PanelLength,PanelWidth,PanelThickness,ImportCad,ImportBom,Optimize,Datacheck,,,,,,,,
\D10,40-43D10 6Module,2,4/30/2025 19:05,,MODEL1,TOUMI,Line6,Original setup,0,299,250,1.6,1,1,0,0,,,,,,,,
LineName,OrderNum,ModelName,ModuleNumber,SideNo,SetupName,AVLNAME,AVL,PartNumber,FeederName,Status,Location,FeederID,PartNumberImage,PartShapeName,PackageName,PartComment,PMABAR,ChuteType,FeederType,TapeWidth,FeedPitch,PTPMNH,QTY,PMADC
Line6,1,NXT6,1,0,Original setup,,,004.003.0000535,KT-0800F-180,Variable,'26,11026,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.003.0000535.bmp,C-0402,P0802,,,,Paper,8mm,2,0.49,8,0
Line6,1,NXT6,1,0,Original setup,,,004.003.0000562,KT-0800F-180,Variable,'27,11027,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.003.0000562.bmp,C-0402,P0802,,,,Paper,8mm,2,0.49,6,0
Line6,1,NXT6,1,0,Original setup,,,004.003.0000100,KT-0800F-180,Variable,'28,11028,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.003.0000100.bmp,C-0402,P0802,,,,Paper,8mm,2,0.49,4,0
Line6,1,NXT6,1,0,Original setup,,,004.002.0000663,KT-0800F-180,Variable,'29,11029,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.002.0000663.bmp,R-0402,P0802,,,,Paper,8mm,2,0.33,2,0
Line6,1,NXT6,1,0,Original setup,,,004.002.0000688,KT-0800F-180,Variable,'30,11030,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.002.0000688.bmp,R-0402,P0802,,,,Paper,8mm,2,0.33,2,0
Line6,1,NXT6,1,0,Original setup,,,004.002.0000698,KT-0800F-180,Variable,'31,11031,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.002.0000698.bmp,C-0402,P0802,,,,Paper,8mm,2,0.49,2,0
Line6,1,NXT6,1,0,Original setup,,,004.002.0000699,KT-0800F-180,Variable,'32,11032,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.002.0000699.bmp,R-0402,P0802,,,,Paper,8mm,2,0.33,2,0
Line6,1,NXT6,1,0,Original setup,,,004.002.0000701,KT-0800F-180,Variable,'33,11033,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.002.0000701.bmp,R-0402,P0802,,,,Paper,8mm,2,0.33,2,0
Line6,1,NXT6,1,0,Original setup,,,004.002.0000806,KT-0800F-180,Variable,'34,11034,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.002.0000806.bmp,R-0402,P0802,,,,Paper,8mm,2,0.33,2,0
Line6,1,NXT6,1,0,Original setup,,,004.003.0000530,KT-0800F-180,Variable,'35,11035,C:\Users\asus\Downloads\d10\40-43D10 6Module;02;Top;MODEL1;[Top] Line6;Original setup\Images\004.003.0000530.bmp,C-0402,P0802,,,,Paper,8mm,2,0.49,2,0
