JobFolder;;;;;;;;;;;;;;;;;;;;;;;
\DONGLE;DONGLE-DUAL;1;5/29/2025 15:06;;ghemmal;Line12;OR01;0;138.8;143.2;1.2;1;1;0;0;;;;;;;;
LineName;OrderNum;ModelName;ModuleNumber;SideNo;AVLNAME;AVL;PartNumber;FeederName;Status;Location;FeederID;PartNumberImage;PartShapeName;PackageName;PartComment;PMABAR;ChuteType;FeederType;TapeWidth;FeedPitch;PTPMNH;QTY;PMADC
Line12;1;NXT12;2;0;;;;;Variable;'18;21018;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'19;21019;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'20;21020;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'21;21021;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;1201-AA2210-J10A;KT-0800F-180;Fixed;'22;21022;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;2;0;;;1301-A2B104-Z50A;KT-0800F-180;Fixed;'23;21023;C:\Users\pc\Desktop\DONGLE-DUAL;;;;;;;;;;;
Line12;1;NXT12;2;0;;;;;Variable;'24;21024;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'25;21025;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'26;21026;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'27;21027;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'28;21028;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'29;21029;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'30;21030;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'31;21031;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'32;21032;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'33;21033;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'34;21034;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'35;21035;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'36;21036;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'37;21037;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'38;21038;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'39;21039;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'40;21040;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'41;21041;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'42;21042;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'43;21043;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'44;21044;;;;;;;;;;;0;
Line12;1;NXT12;2;0;;;;;Variable;'45;21045;;;;;;;;;;;0;
Line12;1;NXT12;3;0;;;;;Variable;'01;31001;;;;;;;;;;;0;
Line12;1;NXT12;3;0;;;;;Variable;'02;31002;;;;;;;;;;;0;
Line12;1;NXT12;3;0;;;;;Variable;'03;31003;;;;;;;;;;;0;
Line12;1;NXT12;3;0;;;;;Variable;'04;31004;;;;;;;;;;;0;
