PartNumber,Shape,VT,SizeX,SizeY,Height,FIDL,Position,Pickup,NoPick,Usage,Reject,Error,Dislodge,Rescan,LCR,Pickup Rate,Reject Rate,Error Rate,Dislodge Rate,Success Rate
13-PWLP32-20AB5FJR,SOT23-5,180,1.6,2.9,1.25,"KT8FL K08026,KT8FL K14377",M1-19,3380,0,3380,0,51,3,0,0,99.91,0,1.51,0.09,98.4
13-SWJW52-60STBJR,SOT23-6,123,1.6,2.9,1.1,"KT8FL K08070,KT8FL K08166",M3-41,3316,0,3316,0,1,5,0,0,99.85,0,0.03,0.15,99.82
13-SWSTI9-712000JR,SOT23-5,180,1.6,2.9,1.25,"KT8FL K08026,KT8FL K14223",M1-26,3329,0,3329,0,0,5,0,0,99.85,0,0,0.15,99.85
13-TPS563-20B1VT,SOT23-6,123,1.6,2.9,1.1,"KT8FL K08001,KT8FL K14348,KT8FL K14379,KT8FL K31620,KT8FL K31625,KT8FL K31796",M3-8,11415,11,11404,0,4,2,0,0,99.98,0,0.04,0.02,99.95
13-TU0000-RT720VT,QFN20 4X4,70,4,4,0.75,"KT12F 213652,KT12F 213655,KT12F 213759",M1-10,13968,6,13962,0,0,2,0,0,99.99,0,0,0.01,99.99
13-TU0RT7-200000JR,QFN20 4X4,70,4,4,0.75,KT12F 213662,M4-31,3306,0,3306,0,0,0,0,0,100,0,0,0,100
13-TUSI21-51A10VT,QFN20 3X3,70,3,3,0.75,"KT12F 213560,KT12F 213664,KT12F 213755,KT12F 213756,KT12F 213771,KT12F 213773,KT12F 213774",M1-8,14010,3,14007,15,31,0,0,0,100,0.11,0.22,0,99.78
13-VDAF11-17A18LJR,SOT-223,70,3.5,6.53,1.6,"KT12F 213560,KT12F 213774",M4-29,3326,0,3326,0,1,19,0,0,99.43,0,0.03,0.57,99.4
13-VDAF62-1925C0JR,SOT23-5,180,1.6,2.9,1.25,"KT8FL K08129,KT8FL K14349",M3-40,3351,0,3351,0,35,6,0,0,99.82,0,1.04,0.18,98.78
13-VDAPL5-337KAIJR,SOP8 5x3.9x1.5 P1.27,123,5,3.9,1.5,"KT12F 213656,KT12F 213757",M4-27,3309,0,3309,0,0,3,0,0,99.91,0,0,0.09,99.91
13-VDJW53-72TSOTJR,SOT23-6,123,1.6,2.9,1.1,"KT8FL K08138,KT8FL K31758",M1-27,3330,0,3330,0,2,4,0,0,99.88,0,0.06,0.12,99.82
13-VDKP52-3201ALJR,SOT23-6,123,1.6,2.9,1.1,"KT8FL K08110,KT8FL K08122,KT8FL K14370,KT8FL K31753",M3-38,9937,0,9937,0,3,4,0,0,99.96,0,0.03,0.04,99.93
13-VDLR43-1AKLTVT,SOT-23,180,1.4,2.9,1.15,"KT8FL K08010,KT8FL K08134,KT8FL K08147,KT8FL K14335,KT8FL K14382",M4-44,11407,6,11401,0,0,5,0,0,99.96,0,0,0.04,99.96
13-VDMP87-70GQZ0JR,QFN16 3X3,123,2.981,3.047,0.9,KT12F 213559,M5-36,3306,0,3306,0,0,0,0,0,100,0,0,0,100
13-VDSTI8-036B00JR,SOP8 5x3.9x1.5 P1.27,123,5,3.9,1.5,"KT12F 213652,KT12F 213756",M4-25,3309,0,3309,0,0,3,0,0,99.91,0,0,0.09,99.91
19-AB0000-FTX33VT,R-0603,60,1.524,0.762,0.49,"KT8FL K08061,KT8FL K08136",M3-39,5128,0,5128,0,3,5,0,0,99.9,0,0.06,0.1,99.84
19-AB0000-JTXJR,R-0603,60,1.524,0.762,0.49,"KT8FL K08038,KT8FL K08177,KT8FL K14225,KT8FL K14346",M4-40,16555,0,16555,0,4,21,0,0,99.87,0,0.02,0.13,99.85
19-AB0000-JTXVT,R-0603,60,1.524,0.762,0.49,"KT8FL K08068,KT8FL K08134,KT8FL K08150,KT8FL K14218,KT8FL K14389",M2-44,14083,12,14071,0,85,28,0,0,99.8,0,0.6,0.2,99.2
19-AB0202-FT72VT,R-0603,60,1.524,0.762,0.49,"KT8FL K08070,KT8FL K08140,KT8FL K14390",M5-43,11294,8,11286,0,3,1,0,0,99.99,0,0.03,0.01,99.96
19-AB0202-FT72VT-A,,,,,,KT8FL K14390,M5-43,114,0,114,0,0,0,0,0,100,0,0,0,100
19-AB0204-FTXJR,R-0603,60,1.524,0.762,0.49,KT8FL K14389,M3-6,3347,0,3347,0,34,3,0,0,99.91,0,1.02,0.09,98.89
19-AB0223-FTX96VT,R-0603,60,1.524,0.762,0.49,"KT8FL K08165,KT8FL K14333,KT8FL K31622,KT8FL K31759",M3-7,11403,0,11403,0,2,3,0,0,99.97,0,0.02,0.03,99.96
19-AB2403-JTX72VT,R-0603,60,1.524,0.762,0.49,KT8FL K14328,M3-42,2563,0,2563,0,3,0,0,0,100,0,0.12,0,99.88
19-BC0000-JTAJR,R-0805,60,2.03,1.27,0.53,"KT8FL K14347,KT8FL K14390",M4-41,6634,0,6634,0,17,5,0,0,99.92,0,0.26,0.08,99.67
19-BC0154-FTXCVT,R-0805,60,2.03,1.27,0.53,"KT8FL K08007,KT8FL K08027,KT8FL K08106,KT8FL K08133,KT8FL K08165,KT8FL K14378,KT8FL K31626",M5-40,22825,12,22813,0,14,7,0,0,99.97,0,0.06,0.03,99.91
19-BC0200-JTXVT,R-0805,60,2.03,1.27,0.53,"KT8FL K08029,KT8FL K08085,KT8FL K14326,KT8FL K14395",M4-43,11407,6,11401,0,5,0,0,0,100,0,0.04,0,99.96
19-BC0229-JTXVT,R-0805,60,2.03,1.27,0.53,"KT8FL K08082,KT8FL K08164,KT8FL K14331,KT8FL K14383",M4-42,11405,6,11399,0,1,2,0,0,99.98,0,0.01,0.02,99.97
19-BC0470-JTXVT,R-0805,60,2.03,1.27,0.53,"KT8FL K08035,KT8FL K08123,KT8FL K14221,KT8FL K14374,KT8FL K31624",M4-41,11419,14,11405,0,2,7,0,0,99.94,0,0.02,0.06,99.92
19-BC0680-JTXVT,R-0805,60,2.03,1.27,0.53,"KT8FL K08127,KT8FL K08141,KT8FL K31755",M4-40,11406,3,11403,0,2,5,0,0,99.96,0,0.02,0.04,99.94
19-BC1003-FTX02VT,R-0805,60,2.03,1.27,0.53,"KT8FL K08079,KT8FL K14225,KT8FL K14335",M3-6,11446,12,11434,0,28,8,0,0,99.93,0,0.24,0.07,99.69
19-CD0000-JTX1JR,R-1206,60,3.048,1.524,0.57,"KT8FL K08028,KT8FL K08199,KT8FL K14336",M3-37,13248,0,13248,0,0,8,0,0,99.94,0,0,0.06,99.94
19-CD0000-JTXVT,C-1206,60,3.048,1.524,1.08,"KT8FL J79530,KT8FL K08039,KT8FL K08161,KT8FL K14369",M3-38,13982,8,13974,0,0,16,0,0,99.89,0,0,0.11,99.89
19-CD0026-JTXVT,R-1206,60,3.048,1.524,0.57,"KT8FL K08037,KT8FL K14347,KT8FL K14373,KT8FL K14386,KT8FL K14388,KT8FL K31621",M4-35,22812,8,22804,0,1,11,0,0,99.95,0,0,0.05,99.95
19-CD0100-JTXVT,R-1206,60,3.048,1.524,0.57,"KT8FL K08006,KT8FL K08034,KT8FL K08123,KT8FL K08170,KT8FL K14279,KT8FL K14316",M5-39,22810,16,22794,0,0,2,0,0,99.99,0,0,0.01,99.99
19-CD0102-JTX70VT,R-1206,60,3.048,1.524,0.57,"KT8FL K08038,KT8FL K08145,KT8FL K14333,KT8FL K14340,KT8FL K14345,KT8FL K31622,KT8FL K31758",M4-34,22824,20,22804,0,2,10,0,0,99.96,0,0.01,0.04,99.95
19-CD0125-JTXVT,R-1206,60,3.048,1.524,0.57,"KT8FL J79408,KT8FL J79526,KT8FL K08067,KT8FL K08082,KT8FL K08124,KT8FL K08132,KT8FL K14370,KT8FL K31626,KT8FL K31717",M4-30,45609,14,45595,0,2,9,0,0,99.98,0,0,0.02,99.98
19-CD0154-JTXVT,R-1206,60,3.048,1.524,0.57,"KT8FL J79408,KT8FL J79414,KT8FL J79521,KT8FL J79524,KT8FL K08036,KT8FL K08041,KT8FL K08079,KT8FL K08081,KT8FL K08106,KT8FL K14335,KT8FL K14348,KT8FL K14387,KT8FL K31616,KT8FL K31620,KT8FL K31718",M3-21,68463,35,68428,0,16,24,0,0,99.96,0,0.02,0.04,99.94
19-CD0208-FTXVT,R-1206,60,3.048,1.524,0.57,"KT8FL K08009,KT8FL K08040,KT8FL K08125,KT8FL K08126,KT8FL K08196,KT8FL K14320",M4-32,22809,14,22795,0,0,3,0,0,99.99,0,0,0.01,99.99
19-CD0300-JTXVT,R-1206,60,3.048,1.524,0.57,"KT8FL K08030,KT8FL K08082,KT8FL K08135,KT8FL K08148,KT8FL K14261,KT8FL K14350,KT8FL K31717,KT8FL K31751",M4-31,34225,9,34216,0,1,27,0,0,99.92,0,0,0.08,99.92
19-CD0308-FTXVT,R-1206,60,3.048,1.524,0.57,"KT8FL K08007,KT8FL K08033,KT8FL K08168,KT8FL K08174",M4-38,11404,8,11396,0,0,0,0,0,100,0,0,0,100
19-CD0470-JTXVT,R-1206,60,3.048,1.524,0.57,"KT8FL J79521,KT8FL K08037,KT8FL K08133,KT8FL K08148,KT8FL K08161,KT8FL K14318,KT8FL K14327,KT8FL K14367,KT8FL K14370,KT8FL K31617,KT8FL K31627","M2-26,M3-1",68442,45,68397,0,19,2,0,0,100,0,0.03,0,99.97
19-CD0514-FTXVT,R-1206,60,3.048,1.524,0.57,"KT8FL K08026,KT8FL K08038,KT8FL K08063,KT8FL K08129,KT8FL K08139,KT8FL K08165",M5-38,22822,20,22802,0,1,9,0,0,99.96,0,0,0.04,99.96
19-GA0000-FT51VT,R-0402,60,1,0.5,0.33,"KT8FL K08197,KT8FL K14332",M2-30,11308,8,11300,0,2,14,0,0,99.88,0,0.02,0.12,99.86
19-GA0000-FT51VT-A,,,,,,KT8FL K08197,M2-30,228,0,228,0,0,0,0,0,100,0,0,0,100
19-GA0000-JT1VT,RA-0402,153,2.052,0.617,0.57,KT8FL K08027,M3-7,5121,0,5121,0,0,1,0,0,99.98,0,0,0.02,99.98
19-GA0000-JTXJR,R-0402,60,1,0.5,0.33,"KT8FL K08043,KT8FL K08141,KT8FL K08147,KT8FL K08177,KT8FL K14345,KT8FL K14350,KT8FL K14386,KT8FL K31754,KT8FL K31759",M1-22,153407,0,153407,0,260,291,0,0,99.81,0,0.17,0.19,99.64
19-GA0000-JTXVT,R-0402,60,1,0.5,0.33,"KT8FL J79411,KT8FL K08007,KT8FL K08033,KT8FL K08035,KT8FL K08043,KT8FL K08063,KT8FL K08067,KT8FL K08141,KT8FL K08165,KT8FL K08170,KT8FL K08173,KT8FL K14279,KT8FL K14329,KT8FL K14330,KT8FL K14334,KT8FL K14369,KT8FL K14394,KT8FL K31796",M2-21,152509,55,152454,0,5,69,0,0,99.95,0,0,0.05,99.95
19-GA0100-FTX61VT,R-0402,60,1,0.5,0.33,KT8FL K08130,M1-41,2558,0,2558,0,0,0,0,0,100,0,0,0,100
19-GA0100-JTXVT,R-0402,60,1,0.5,0.33,"KT8FL K08039,KT8FL K14331,KT8FL K14386",M2-41,13966,0,13966,0,1,7,0,0,99.95,0,0.01,0.05,99.94
19-GA0101-FTXJR,R-0402,60,1,0.5,0.33,"KT8FL K08034,KT8FL K08037",M3-28,13246,0,13246,0,1,5,0,0,99.96,0,0.01,0.04,99.95
19-GA0101-FTXVT,R-0402,60,1,0.5,0.33,KT8FL K14349,M3-40,2561,0,2561,0,1,0,0,0,100,0,0.04,0,99.96
19-GA0101-JTXJR,R-0402,60,1,0.5,0.33,"KT8FL K08061,KT8FL K14277,KT8FL K14332,KT8FL K14334,KT8FL K14335,KT8FL K14345,KT8FL K14348,KT8FL K14374,KT8FL K14383",M1-24,109892,0,109892,0,90,132,0,0,99.88,0,0.08,0.12,99.8
19-GA0101-JTXVT,R-0402,60,1,0.5,0.33,"KT8FL J79410,KT8FL K08043,KT8FL K08068,KT8FL K08070,KT8FL K08076,KT8FL K08080,KT8FL K08129,KT8FL K08168,KT8FL K08195,KT8FL K08198,KT8FL K14218,KT8FL K14221,KT8FL K14327,KT8FL K14330,KT8FL K14336,KT8FL K14392,KT8FL K14394,KT8FL K31620,KT8FL K31753",M1-25,200969,68,200901,0,125,116,0,0,99.94,0,0.06,0.06,99.88
19-GA0102-FTXJR,R-0402,60,1,0.5,0.33,"KT8FL J79530,KT8FL K08061,KT8FL K08145,KT8FL K08172",M3-20,33126,0,33126,0,3,23,0,0,99.93,0,0.01,0.07,99.92
19-GA0102-FTXVT,R-0402,60,1,0.5,0.33,"KT8FL J79521,KT8FL J79522,KT8FL K08026,KT8FL K08110,KT8FL K08126,KT8FL K08187,KT8FL K14393",M3-27,50724,6,50718,0,1,5,0,0,99.99,0,0,0.01,99.99
19-GA0102-JTXJR,R-0402,60,1,0.5,0.33,"KT8FL K08031,KT8FL K08066,KT8FL K08129,KT8FL K08180,KT8FL K14370",M3-21,46397,0,46397,0,10,47,0,0,99.9,0,0.02,0.1,99.88
19-GA0102-JTXVT,R-0402,60,1,0.5,0.33,"KT8FL K08008,KT8FL K08064,KT8FL K08133,KT8FL K08134,KT8FL K08176,KT8FL K08197,KT8FL K08200,KT8FL K14224,KT8FL K14332,KT8FL K14348,KT8FL K14370,KT8FL K14381,KT8FL K14388,KT8FL K31619,KT8FL K31620",M2-24,137157,71,137086,0,39,27,0,0,99.98,0,0.03,0.02,99.95
19-GA0103-FTX1JR,R-0402,60,1,0.5,0.33,"KT8FL K08130,KT8FL K08132,KT8FL K08168,KT8FL K14393",M2-21,36448,0,36448,0,2,14,0,0,99.96,0,0.01,0.04,99.96
19-GA0103-FTXVT,R-0402,60,1,0.5,0.33,"KT8FL J79406,KT8FL K08006,KT8FL K08196,KT8FL K14217,KT8FL K14340",M1-29,30504,16,30488,0,0,10,0,0,99.97,0,0,0.03,99.97
19-GA0103-JTXJR,R-0402,60,1,0.5,0.33,"KT8FL J79525,KT8FL K08036,KT8FL K08064,KT8FL K08199,KT8FL K14217,KT8FL K14221,KT8FL K14328,KT8FL K14332,KT8FL K14336,KT8FL K14340,KT8FL K14348,KT8FL K14374,KT8FL K14386,KT8FL K31716,KT8FL K31754,KT8FL K31758",M2-23,192463,0,192463,1,103,225,0,0,99.88,0,0.05,0.12,99.83
19-GA0103-JTXVT,R-0402,60,1,0.5,0.33,"KT8FL J79411,KT8FL J79525,KT8FL J79527,KT8FL K08005,KT8FL K08008,KT8FL K08026,KT8FL K08027,KT8FL K08030,KT8FL K08034,KT8FL K08037,KT8FL K08080,KT8FL K08107,KT8FL K08122,KT8FL K08132,KT8FL K08139,KT8FL K08142,KT8FL K08165,KT8FL K08166,KT8FL K08170,KT8FL K08173,KT8FL K08187,KT8FL K08197,KT8FL K08200,KT8FL K14225,KT8FL K14339,KT8FL K14349,KT8FL K14367,KT8FL K14368,KT8FL K14370,KT8FL K14372,KT8FL K14383,KT8FL K14384,KT8FL K14393,KT8FL K31617,KT8FL K31620,KT8FL K31622,KT8FL K31627,KT8FL K31629,KT8FL K31755,KT8FL K31796",M3-23,441204,200,441004,0,118,508,0,0,99.88,0,0.03,0.12,99.86
19-GA0104-FTXJR,R-0402,60,1,0.5,0.33,"KT8FL K08076,KT8FL K31618",M3-29,13245,0,13245,0,0,5,0,0,99.96,0,0,0.04,99.96
19-GA0104-JTXJR,R-0402,60,1,0.5,0.33,KT8FL K31623,M1-28,3325,0,3325,0,0,3,0,0,99.91,0,0,0.09,99.91
19-GA0104-JTXVT,R-0402,60,1,0.5,0.33,"KT8FL K08006,KT8FL K08061,KT8FL K08084,KT8FL K08136,KT8FL K14378,KT8FL K14383,KT8FL K31716,KT8FL K31718",M3-24,83809,24,83785,0,10,27,0,0,99.97,0,0.01,0.03,99.96
19-GA0105-JTXVT,R-0402,60,1,0.5,0.33,"KT8FL K08107,KT8FL K14350",M2-38,13970,0,13970,0,10,2,0,0,99.99,0,0.07,0.01,99.91
19-GA0122-FTXVT,R-0402,60,1,0.5,0.33,"KT8FL J79521,KT8FL K08009,KT8FL K08063,KT8FL K08175,KT8FL K14221,KT8FL K14367",M3-19,45625,25,45600,0,3,5,0,0,99.99,0,0.01,0.01,99.98
19-GA0122-JTX1JR,R-0402,60,1,0.5,0.33,KT8FL K08149,M2-35,6630,0,6630,0,0,0,0,0,100,0,0,0,100
19-GA0122-JTX87VT,R-0402,60,1,0.5,0.33,KT8FL K08084,M1-20,7675,0,7675,0,1,0,0,0,100,0,0.01,0,99.99
19-GA0123-FTXJR,R-0402,60,1,0.5,0.33,KT8FL K14337,M1-29,3322,0,3322,0,0,0,0,0,100,0,0,0,100
19-GA0123-FTXVT,R-0402,60,1,0.5,0.33,"KT8FL K08041,KT8FL K08195,KT8FL K14328",M1-41,11407,4,11403,0,1,0,0,0,100,0,0.01,0,99.99
19-GA0123-JTXJR,R-0402,60,1,0.5,0.33,KT8FL K14331,M2-36,6683,0,6683,0,47,8,0,0,99.88,0,0.7,0.12,99.18
19-GA0133-FTX01JR,R-0402,60,1,0.5,0.33,"KT8FL K08065,KT8FL K14366",M3-30,13246,0,13246,0,1,5,0,0,99.96,0,0.01,0.04,99.95
19-GA0133-FTXVT,R-0402,60,1,0.5,0.33,"KT8FL K08106,KT8FL K08197",M2-37,13964,0,13964,0,1,5,0,0,99.96,0,0.01,0.04,99.96
19-GA0151-FTXVT,R-0402,60,1,0.5,0.33,"KT8FL J79523,KT8FL K08175",M1-42,11414,8,11406,0,1,3,0,0,99.97,0,0.01,0.03,99.96
19-GA0153-FTXJR,R-0402,60,1,0.5,0.33,KT8FL K08173,M2-13,6626,0,6626,0,2,0,0,0,100,0,0.03,0,99.97
19-GA0153-FTXVT,R-0402,60,1,0.5,0.33,"KT8FL J79522,KT8FL K08110,KT8FL K14379,KT8FL K31628",M2-16,36767,10,36757,0,2,1,0,0,100,0,0.01,0,99.99
19-GA0153-JTX1JR,R-0402,60,1,0.5,0.33,KT8FL K08200,M2-38,3313,0,3313,0,1,0,0,0,100,0,0.03,0,99.97
19-GA0163-FTX01JR,R-0402,60,1,0.5,0.33,KT8FL K08068,M1-20,6649,0,6649,0,0,1,0,0,99.98,0,0,0.02,99.98
19-GA0163-FTXCVT,R-0402,60,1,0.5,0.33,"KT8FL K14224,KT8FL K14392,KT8FL K31625",M2-35,16526,0,16526,0,1,7,0,0,99.96,0,0.01,0.04,99.95
19-GA0182-FTX1VT,R-0402,60,1,0.5,0.33,KT8FL J79523,M1-39,2559,0,2559,0,0,1,0,0,99.96,0,0,0.04,99.96
19-GA0182-JTXJR,R-0402,60,1,0.5,0.33,"KT8FL J79413,KT8FL K14383",M3-27,16552,0,16552,0,2,0,0,0,100,0,0.01,0,99.99
19-GA0200-JTXVT,R-0402,60,1,0.5,0.33,KT8FL K08131,M1-40,2559,0,2559,0,0,1,0,0,99.96,0,0,0.04,99.96
19-GA0201-FTXVT,R-0402,60,1,0.5,0.33,"KT8FL K08006,KT8FL K08107,KT8FL K08121,KT8FL K08122,KT8FL K08142",M1-30,22824,16,22808,0,0,4,0,0,99.98,0,0,0.02,99.98
19-GA0202-FTXVT,R-0402,60,1,0.5,0.33,"KT8FL K08038,KT8FL K14337,KT8FL K31751",M2-34,11417,0,11417,0,5,14,0,0,99.88,0,0.04,0.12,99.83
19-GA0203-FTXVT,R-0402,60,1,0.5,0.33,"KT8FL K08064,KT8FL K08172,KT8FL K31619,KT8FL K31716",M3-18,48195,13,48182,0,12,18,0,0,99.96,0,0.02,0.04,99.94
19-GA0203-JTXJR,R-0402,60,1,0.5,0.33,KT8FL K14326,M2-34,6631,0,6631,0,0,3,0,0,99.95,0,0,0.05,99.95
19-GA0213-FTXVT,R-0402,60,1,0.5,0.33,"KT8FL J79409,KT8FL K08130",M1-40,11411,4,11407,0,0,5,0,0,99.96,0,0,0.04,99.96
19-GA0220-JTXJR,R-0402,60,1,0.5,0.33,"KT8FL J79526,KT8FL K08063,KT8FL K08069,KT8FL K14338,KT8FL K14348",M2-24,89548,0,89548,0,25,92,0,0,99.9,0,0.03,0.1,99.87
19-GA0220-JTXVT,R-0402,60,1,0.5,0.33,"KT8FL J79522,KT8FL J79524,KT8FL K08003,KT8FL K08030,KT8FL K08076,KT8FL K08163,KT8FL K14343,KT8FL K14366,KT8FL K14372,KT8FL K14385,KT8FL K31624,KT8FL K31754,KT8FL K31796","M2-25,M2-26",119417,36,119381,0,19,18,0,0,99.98,0,0.02,0.02,99.97
19-GA0221-FTX97VT,R-0402,60,1,0.5,0.33,KT8FL K31751,M2-10,2562,0,2562,0,0,2,0,0,99.92,0,0,0.08,99.92
19-GA0221-JTXVT,R-0402,60,1,0.5,0.33,"KT8FL K08026,KT8FL K08064,KT8FL K14334,KT8FL K31755",M1-28,25375,10,25365,0,2,1,0,0,100,0,0.01,0,99.99
19-GA0222-JTXJR,R-0402,60,1,0.5,0.33,KT8FL K08033,M1-30,3322,0,3322,0,0,0,0,0,100,0,0,0,100
19-GA0222-JTXVT,R-0402,60,1,0.5,0.33,KT8FL K31620,M3-8,5123,0,5123,0,3,0,0,0,100,0,0.06,0,99.94
19-GA0223-FTXVT,R-0402,60,1,0.5,0.33,"KT8FL K14387,KT8FL K31752",M1-38,13962,0,13962,0,2,0,0,0,100,0,0.01,0,99.99
19-GA0223-JTXVT,R-0402,60,1,0.5,0.33,KT8FL K31621,M1-5,2558,0,2558,0,0,0,0,0,100,0,0,0,100
19-GA0229-FTXVT,R-0402,60,1,0.5,0.33,"KT8FL J79407,KT8FL J79525,KT8FL K08033,KT8FL K08037,KT8FL K08131,KT8FL K08132,KT8FL K14349,KT8FL K14372,KT8FL K31620,KT8FL K31718",M1-26,88967,21,88946,0,23,47,0,0,99.95,0,0.03,0.05,99.92
19-GA0229-JTX1JR,R-0402,60,1,0.5,0.33,"KT8FL K08038,KT8FL K08065,KT8FL K08066,KT8FL K08169,KT8FL K08177,KT8FL K14222,KT8FL K14224,KT8FL K14379,KT8FL K14392",M2-22,106096,0,106096,0,33,79,0,0,99.93,0,0.03,0.07,99.89
19-GA0241-FTX1JR,R-0402,60,1,0.5,0.33,"KT8FL K14334,KT8FL K14374",M3-31,13245,0,13245,0,0,5,0,0,99.96,0,0,0.04,99.96
19-GA0241-FTXVT,R-0402,60,1,0.5,0.33,"KT8FL J79409,KT8FL J79526,KT8FL K08004,KT8FL K08133,KT8FL K08163,KT8FL K08172,KT8FL K14277,KT8FL K14319,KT8FL K31716","M2-27,M3-12",60972,12,60960,0,1,7,0,0,99.99,0,0,0.01,99.99
19-GA0243-FTX01JR,R-0402,60,1,0.5,0.33,KT8FL K31627,M1-31,3323,0,3323,0,0,1,0,0,99.97,0,0,0.03,99.97
19-GA0243-FTXVT,R-0402,60,1,0.5,0.33,"KT8FL K08061,KT8FL K14373",M1-36,13974,8,13966,0,0,6,0,0,99.96,0,0,0.04,99.96
19-GA0272-FTXJR,R-0402,60,1,0.5,0.33,KT8FL J79527,M5-45,3304,0,3304,0,0,1,0,0,99.97,0,0,0.03,99.97
19-GA0301-FTX46VT,R-0402,60,1,0.5,0.33,"KT8FL K08069,KT8FL K08137,KT8FL K14276,KT8FL K14383",M1-27,22828,13,22815,0,2,9,0,0,99.96,0,0.01,0.04,99.95
19-GA0303-FTX1JR,R-0402,60,1,0.5,0.33,KT8FL K08136,M3-39,3310,0,3310,0,0,0,0,0,100,0,0,0,100
19-GA0330-FTX01JR,R-0402,60,1,0.5,0.33,"KT8FL J79530,KT8FL K08139,KT8FL K08199",M3-26,23181,0,23181,0,1,10,0,0,99.96,0,0,0.04,99.95
19-GA0330-JTXVT,R-0402,60,1,0.5,0.33,"KT8FL J79525,KT8FL J79527,KT8FL K08008,KT8FL K08062,KT8FL K08187",M1-16,33054,8,33046,0,4,6,0,0,99.98,0,0.01,0.02,99.97
19-GA0332-FTX01JR,R-0402,60,1,0.5,0.33,KT8FL K08001,M2-7,3312,0,3312,0,0,0,0,0,100,0,0,0,100
19-GA0332-JTXJR,R-0402,60,1,0.5,0.33,KT8FL K08123,M1-32,3322,0,3322,0,0,0,0,0,100,0,0,0,100
19-GA0333-FTXVT,R-0402,60,1,0.5,0.33,"KT8FL K08069,KT8FL K08171",M1-33,21638,0,21638,0,2,2,0,0,99.99,0,0.01,0.01,99.98
19-GA0333-JTX01JR,R-0402,60,1,0.5,0.33,KT8FL K31755,M3-9,6621,0,6621,0,0,1,0,0,99.98,0,0,0.02,99.98
19-GA0333-JTXVT,R-0402,60,1,0.5,0.33,"KT8FL K08166,KT8FL K14222,KT8FL K31719",M1-32,11427,8,11419,0,5,12,0,0,99.89,0,0.04,0.11,99.85
19-GA0334-FTXVT,R-0402,60,1,0.5,0.33,"KT8FL K08128,KT8FL K08137",M2-10,11401,0,11401,0,1,2,0,0,99.98,0,0.01,0.02,99.97
19-GA0342-FTX66VT,R-0402,60,1,0.5,0.33,"KT8FL K14337,KT8FL K14384",M1-31,11405,0,11405,0,0,3,0,0,99.97,0,0,0.03,99.97
19-GA0363-FTX01JR,R-0402,60,1,0.5,0.33,KT8FL K08161,M1-33,3322,0,3322,0,0,0,0,0,100,0,0,0,100
19-GA0363-FTX10VT,R-0402,60,1,0.5,0.33,"KT8FL K08029,KT8FL K08121,KT8FL K31623",M1-15,11412,4,11408,0,1,5,0,0,99.96,0,0.01,0.04,99.95
19-GA0392-FTXVT,R-0402,60,1,0.5,0.33,"KT8FL K08038,KT8FL K08065,KT8FL K14333,KT8FL K31618",M1-14,16538,18,16520,0,0,2,0,0,99.99,0,0,0.01,99.99
19-GA0393-FTX40VT,R-0402,60,1,0.5,0.33,KT8FL K08200,M2-9,2560,0,2560,0,0,0,0,0,100,0,0,0,100
19-GA0394-FTXVT,R-0402,60,1,0.5,0.33,"KT8FL K08149,KT8FL K08200,KT8FL K14381,KT8FL K14392",M2-9,11406,4,11402,0,0,4,0,0,99.96,0,0,0.04,99.96
19-GA0432-FTX01JR,R-0402,60,1,0.5,0.33,KT8FL K08126,M3-11,6635,0,6635,0,0,15,0,0,99.77,0,0,0.23,99.77
19-GA0432-FTX03VT,R-0402,60,1,0.5,0.33,"KT8FL J79521,KT8FL K14377,KT8FL K14389",M2-11,16523,0,16523,0,0,5,0,0,99.97,0,0,0.03,99.97
19-GA0433-FTX82VT,R-0402,60,1,0.5,0.33,"KT8FL K08066,KT8FL K08172",M1-13,11403,0,11403,0,0,1,0,0,99.99,0,0,0.01,99.99
19-GA0470-FTX01VT,R-0402,60,1,0.5,0.33,KT8FL K08161,M1-35,2560,0,2560,0,0,2,0,0,99.92,0,0,0.08,99.92
19-GA0470-JTX01JR,R-0402,60,1,0.5,0.33,"KT8FL K08132,KT8FL K08140",M3-16,13252,0,13252,0,4,8,0,0,99.94,0,0.03,0.06,99.91
19-GA0471-JTXJR,R-0402,60,1,0.5,0.33,KT8FL J79409,M3-12,6621,0,6621,0,1,0,0,0,100,0,0.02,0,99.98
19-GA0471-JTXVT,R-0402,60,1,0.5,0.33,"KT8FL J79527,KT8FL J79530,KT8FL K08040,KT8FL K14395,KT8FL K31753",M2-17,39327,9,39318,0,2,2,0,0,99.99,0,0.01,0.01,99.99
19-GA0472-FTXVT,R-0402,60,1,0.5,0.33,"KT8FL K08136,KT8FL K14339,KT8FL K31720",M1-12,11410,0,11410,0,0,8,0,0,99.93,0,0,0.07,99.93
19-GA0472-JTX1P4VT,RA-0402,153,2.052,0.617,0.57,"KT8FL K08146,KT8FL K14341",M2-12,11443,0,11443,0,38,7,0,0,99.94,0,0.33,0.06,99.61
19-GA0472-JTXJR,R-0402,60,1,0.5,0.33,"KT8FL K08003,KT8FL K08043,KT8FL K08063,KT8FL K08148,KT8FL K14217",M3-24,49678,0,49678,0,11,17,0,0,99.97,0,0.02,0.03,99.94
