PartNumber,Shape,VT,SizeX,SizeY,Height,FIDL,Position,Pickup,NoPick,Usage,Reject,Error,Dislodge,Rescan,LCR,Pickup Rate,Reject Rate,Error Rate,Dislodge Rate,Success Rate
0RJ1201C678,R-0402,60,1,0.5,0.33,"KT8FL K08064,KT8FL K08122,KT8FL K14393",M1-23,6357,4,6353,0,0,1,0,0,99.98,0,0,0.02,99.98
0RJ1201D477,R-0603,60,1.524,0.762,0.49,"KT8FL K08029,KT8FL K08043,KT8FL K14389",M3-6,5755,4,5751,0,0,4,0,0,99.93,0,0,0.07,99.93
0RJ1202C478,R-0402,60,1,0.5,0.33,"KT8FL K08137,KT8FL K08172,KT8FL K14223",M1-27,6658,4,6654,0,1,1,0,0,99.98,0,0.02,0.02,99.97
0RJ1203C478,R-0402,60,1,0.5,0.33,"KT8FL K08122,KT8FL K14377",M1-13,2959,8,2951,0,2,0,0,0,100,0,0.07,0,99.93
0RJ1402C478,R-0402,60,1,0.5,0.33,"KT8FL K08133,KT8FL K14368",M2-32,1500,0,1500,0,0,0,0,0,100,0,0,0,100
0RJ1503C478,R-0402,60,1,0.5,0.33,"KT8FL K14327,KT8FL K31720","M1-4,M2-4",15265,0,15265,3,0,3,0,0,99.98,0.02,0,0.02,99.98
0RJ1601C478,R-0402,60,1,0.5,0.33,"KT8FL K08029,KT8FL K14389",M3-6,300,0,300,0,0,0,0,0,100,0,0,0,100
0RJ1801C678,R-0402,60,1,0.5,0.33,"KT8FL K08005,KT8FL K08036,KT8FL K08122,KT8FL K08148,KT8FL K08169,KT8FL K08177,KT8FL K31796",M1-42,64530,8,64522,0,23,27,0,0,99.96,0,0.04,0.04,99.92
0RJ1802C478,R-0402,60,1,0.5,0.33,"KT8FL K08077,KT8FL K08173,KT8FL K14374",M2-14,11815,2,11813,4,1,6,0,0,99.95,0.03,0.01,0.05,99.94
0RJ2000C678,R-0402,60,1,0.5,0.33,"KT8FL K08106,KT8FL K14326",M2-35,11815,0,11815,0,1,12,0,0,99.9,0,0.01,0.1,99.89
0RJ2000D677,R-0603,60,1.524,0.762,0.49,"KT8FL K08036,KT8FL K08121,KT8FL K08140,KT8FL K08198",M3-14,12103,0,12103,0,2,5,0,0,99.96,0,0.02,0.04,99.94
0RJ2001C678,R-0402,60,1,0.5,0.33,"KT8FL K08028,KT8FL K08127",M2-3,6758,0,6758,0,0,7,0,0,99.9,0,0,0.1,99.9
0RJ2002C478,R-0402,60,1,0.5,0.33,"KT8FL K14222,KT8FL K31621","M1-5,M2-5",6062,4,6058,0,1,5,0,0,99.92,0,0.02,0.08,99.9
0RJ2002C678,R-0402,60,1,0.5,0.33,"KT8FL J79524,KT8FL K14380",M3-31,616,8,608,0,1,7,0,0,98.85,0,0.16,1.15,98.68
0RJ2002D477,R-0603,60,1.524,0.762,0.49,"KT8FL K08199,KT8FL K14340",M3-38,302,0,302,0,0,2,0,0,99.34,0,0,0.66,99.34
0RJ2201C678,R-0402,60,1,0.5,0.33,"KT8FL K08064,KT8FL K08065",M2-33,1200,0,1200,0,0,0,0,0,100,0,0,0,100
0RJ2202C478,R-0402,60,1,0.5,0.33,"KT8FL K08165,KT8FL K14224",M2-44,307,4,303,0,0,3,0,0,99.01,0,0,0.99,99.01
0RJ2202C678,R-0402,60,1,0.5,0.33,"KT8FL K08061,KT8FL K14373",M1-36,6365,8,6357,0,0,5,0,0,99.92,0,0,0.08,99.92
0RJ2203C678,R-0402,60,1,0.5,0.33,"KT8FL K08195,KT8FL K14369",M4-39,302,0,302,0,0,2,0,0,99.34,0,0,0.66,99.34
0RJ2400C478,R-0402,60,1,0.5,0.33,"KT8FL K08026,KT8FL K08132,KT8FL K08196",M3-18,24826,4,24822,0,26,4,0,0,99.98,0,0.1,0.02,99.88
0RJ2402C478,R-0402,60,1,0.5,0.33,"KT8FL K08076,KT8FL K08149,KT8FL K31618",M3-30,17597,6,17591,0,35,12,0,0,99.93,0,0.2,0.07,99.73
0RJ2700C478,R-0402,60,1,0.5,0.33,"KT8FL J79406,KT8FL K08176",M3-37,306,0,306,0,2,4,0,0,98.69,0,0.65,1.31,98.04
0RJ2701C478,R-0402,60,1,0.5,0.33,"KT8FL K08144,KT8FL K14341,KT8FL K31719",M1-15,11510,0,11510,0,0,6,0,0,99.95,0,0,0.05,99.95
0RJ2701C678,R-0402,60,1,0.5,0.33,"KT8FL K08004,KT8FL K14381",M2-13,1513,5,1508,0,0,8,0,0,99.47,0,0,0.53,99.47
0RJ2702C478,R-0402,60,1,0.5,0.33,"KT8FL K08002,KT8FL K14334",M3-33,603,0,603,0,0,3,0,0,99.5,0,0,0.5,99.5
0RJ3002C478,R-0402,60,1,0.5,0.33,"KT8FL K08124,KT8FL K14333",M1-12,5764,0,5764,0,0,12,0,0,99.79,0,0,0.21,99.79
0RJ3003C478,R-0402,60,1,0.5,0.33,"KT8FL K08033,KT8FL K14337",M1-31,6055,0,6055,0,1,2,0,0,99.97,0,0.02,0.03,99.95
0RJ3300C478,R-0402,60,1,0.5,0.33,"KT8FL J79411,KT8FL K08175",M2-42,311,0,311,0,0,11,0,0,96.46,0,0,3.54,96.46
0RJ3300C678,R-0402,60,1,0.5,0.33,"KT8FL J79411,KT8FL K08171,KT8FL K14346,KT8FL K31627",M1-33,17273,4,17269,0,0,13,0,0,99.92,0,0,0.08,99.92
0RJ3301C478,R-0402,60,1,0.5,0.33,"KT8FL K08067,KT8FL K14384",M3-34,304,0,304,0,0,4,0,0,98.68,0,0,1.32,98.68
0RJ3301C678,R-0402,60,1,0.5,0.33,"KT8FL K08082,KT8FL K14332,KT8FL K31752",M1-38,7267,4,7263,0,0,11,0,0,99.85,0,0,0.15,99.85
0RJ3301D677,R-0603,60,1.524,0.762,0.49,"KT8FL K08029,KT8FL K08138,KT8FL K14326,KT8FL K14384,KT8FL K14395",M3-5,6361,8,6353,0,0,5,0,0,99.92,0,0,0.08,99.92
0RJ3302C478,R-0402,60,1,0.5,0.33,"KT8FL K08010,KT8FL K14329",M2-43,303,0,303,0,0,3,0,0,99.01,0,0,0.99,99.01
0RJ3601C478,R-0402,60,1,0.5,0.33,"KT8FL K14350,KT8FL K14395",M3-4,5761,0,5761,0,11,2,0,0,99.97,0,0.19,0.03,99.77
0RJ3601D677,R-0603,60,1.524,0.762,0.49,"KT8FL K08002,KT8FL K08139,KT8FL K08196",M3-36,5762,0,5762,0,10,4,0,0,99.93,0,0.17,0.07,99.76
0RJ3602C478,R-0402,60,1,0.5,0.33,"KT8FL K08200,KT8FL K14331",M2-38,5762,0,5762,0,2,9,0,0,99.84,0,0.03,0.16,99.81
0RJ3901C478,R-0402,60,1,0.5,0.33,"KT8FL K08026,KT8FL K08178,KT8FL K14372","M1-11,M1-9",11509,2,11507,0,0,3,0,0,99.97,0,0,0.03,99.97
